"id","name","code","reconcile","chart_template_id/id","user_type_id/id"
"pcg_28313","Amortissements des terrains bâtis","28313","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28314","Amortissements des terrains de gisement","28314","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28316","Amortissements des agencements et aménagements de terrains","28316","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28318","Amortissements des autres terrains","28318","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28321","Amortissements des bâtiments","28321","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28323","Amortissements des constructions sur terrains d'autrui","28323","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28325","Amortissements des ouvrages d'infrastructure","28325","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28327","Amortissements des installations, agencements et aménagements des constructions","28327","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28328","Amortissements des autres constructions","28328","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28331","Amortissements des installations techniques","28331","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28332","Amortissements du matériel et outillage","28332","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28333","Amortissements des emballages récupérables identifiables","28333","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28338","Amortissements des autres installations techniques, matériel et outillage","28338","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2834","Amortissements du matériel de transport","2834","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28351","Amortissements du mobilier de bureau","28351","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28352","Amortissements du matériel de bureau","28352","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28355","Amortissements du matériel informatique","28355","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28356","Amortissements des agencements, installations et aménagements divers","28356","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28358","Amortissements des autres mobilier, matériel de bureau et aménagements divers","28358","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2838","Amortissements des autres immobilisations corporelles","2838","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2920","Provisions pour dépréciation des immobilisations incorporelles","2920","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2930","Provisions pour dépréciation des immobilisations corporelles","2930","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2941","Provisions pour dépréciation des prêts immobilisés","2941","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2948","Provisions pour dépréciation des autres créances financières","2948","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2951","Provisions pour dépréciation des titres de participation","2951","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2958","Provisions pour dépréciation des autres titres immobilisés","2958","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3111","Marchandises (groupe A)","3111","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3112","Marchandises (groupe B)","3112","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3116","Marchandises en cours de route","3116","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3118","Autres marchandises","3118","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31211","Matières premières (groupe A)","31211","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31212","Matières premières (groupe B)","31212","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31221","Matières consommables (groupe A)","31221","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31222","Matières consommables (groupe B)","31222","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31223","Combustibles","31223","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31224","Produits d'entretien","31224","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31225","Fournitures d'atelier et d'usine","31225","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31226","Fournitures de magasin","31226","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31227","Fournitures de bureau","31227","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31231","Emballages perdus","31231","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31232","Emballages récupérables non identifiables","31232","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31233","Emballages à  usage mixte","31233","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3126","Matières et fournitures consommables en cours de route","3126","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3128","Autres matières et fournitures consommables","3128","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31311","Biens produits en cours","31311","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31312","Biens intermédiaires en cours","31312","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31317","Biens résiduels en cours","31317","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31341","Travaux en cours","31341","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31342","Études en cours","31342","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31343","Prestations en cours","31343","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
